	size	noverlap	hg_fdr	fej_fdr	ks_fdr
GO:0035384	57	1	1	1	0.605937454558853
GO:0060326	173	57	9.55690617692788e-16	3.1162094850943e-15	0.144874897117789
GO:0050994	55	26	7.37379699208034e-12	3.41124842702922e-11	0.111091388918692
GO:0072329	102	8	0.927479401151543	1	0.558186279981736
GO:0098916	322	80	8.07144033485136e-14	1.99102892850121e-13	0.0953852446591542
GO:0060333	71	25	2.89427762137459e-08	9.94640027875416e-08	0.206645606738567
GO:0060337	63	20	4.54529778479313e-06	1.42480012990188e-05	0.428284574408366
GO:0072384	66	20	9.88170524020168e-06	2.94416890036134e-05	0.56559091597993
GO:0060393	60	32	3.20163139990409e-16	1.65760485666666e-15	0.0742725378653912
GO:0060395	58	22	4.34969726120378e-08	1.61196203453034e-07	0.288511219291904
GO:0072376	135	23	0.0139895473675072	0.0242099944758269	0.239472638590478
GO:0072395	64	13	0.0163236836034592	0.0337508990020148	0.89015979000468
GO:0001947	58	23	8.08861995586806e-09	3.12139184781662e-08	0.44396262381416
GO:0001952	93	50	6.76562075920719e-25	3.54847325520199e-24	0.0276147466015254
GO:0001959	140	62	1.04364821525964e-24	4.54864514691281e-24	0.00692002594988571
GO:0050907	471	4	1	1	0.501035159394144
GO:0050905	74	17	0.0016168762977021	0.00371164574373492	0.308774708654122
GO:0001933	385	165	2.43248926929083e-62	1.0326944648191e-61	0.000707140099083114
GO:0001936	95	41	2.96646098888413e-16	1.25721376576261e-15	0.249529185152307
GO:0050900	263	80	2.96661743456935e-19	8.90260217607683e-19	0.0274943951521928
GO:0001938	68	26	2.07527244198726e-09	7.81736105262623e-09	0.399542575626976
GO:0050953	202	34	0.00367750041902698	0.00626165984242311	0.753457849017431
GO:0050954	136	23	0.0151950912894693	0.0261980060794527	0.374446227519534
GO:0035305	79	12	0.135708997690793	0.218426211680145	0.205104704295015
GO:0035303	142	31	5.88760959458737e-05	0.000128358380708352	0.12854674785926
GO:0035304	68	19	5.68693473544302e-05	0.000157094601002763	0.271121417563638
GO:0050911	427	0	1	1	0.393110185518338
GO:0050922	50	46	2.84294424769895e-40	2.52492556553402e-39	0.00253926507607749
GO:0050920	180	93	1.39470642819737e-43	7.08906975127028e-43	0.000333309783492339
GO:0050921	118	51	5.98186772721535e-20	2.53218536549136e-19	0.0288879659726585
GO:0035335	99	18	0.0154687394305437	0.0286913585116443	0.895004569781359
GO:0060485	55	20	4.05049547205388e-07	1.44657856104398e-06	0.816739582321999
GO:1901343	79	45	6.54365827075959e-24	3.62691376901986e-23	0.121002381223755
GO:1901342	234	105	7.07661288081992e-42	3.10447166379755e-41	0.0493956120272005
GO:1901361	426	44	0.58901740441239	0.660635288717976	0.744957966574589
GO:0060491	142	48	6.27643023904611e-14	2.07630973453006e-13	0.251395701996769
GO:1901379	61	25	7.75808926774252e-10	3.11511134326897e-09	0.0117887777991732
GO:0072422	63	12	0.0331061747213481	0.0647564511951015	0.872252642663931
GO:0072413	61	12	0.0263214280989307	0.0530510144655162	0.833436511934025
GO:0072431	61	12	0.0263214280989307	0.0530510144655162	0.833436511934025
GO:0060401	67	43	7.92406213509527e-26	4.91360843753516e-25	0.0754329213359602
GO:0060402	56	41	3.83319900177653e-28	2.70539222698998e-27	0.0223008832656381
GO:0060420	50	29	4.1153738639453e-16	2.3247391421459e-15	0.117356730209108
GO:0060429	143	50	4.0817292370348e-15	1.40496309255265e-14	0.344188596691761
GO:0072401	63	12	0.0331061747213481	0.0647564511951015	0.872252642663931
GO:0060415	69	26	2.97219259237067e-09	1.10100638439361e-08	0.23240036944287
GO:0060411	58	28	5.83672973932803e-13	2.73550199399805e-12	0.00142163756213558
GO:1903955	86	7	0.887329413376574	0.983386456747312	0.950471609540644
GO:1903902	92	22	0.0001845253339139	0.000440684433683782	0.0172286367337344
GO:1903900	173	88	1.48590030236592e-40	7.34513183455952e-40	0.000233135444028006
GO:1903901	85	73	1.24893653920984e-58	1.03494278627033e-57	2.85340766313695e-05
GO:0070372	241	114	2.79161763300703e-48	1.29068537198205e-47	0.00280675162883777
GO:0070373	55	30	1.23275668249804e-15	6.54094543220743e-15	0.191065153331346
GO:0070374	175	85	3.03631680084179e-37	1.44194412733249e-36	0.00720344953539325
GO:0008406	106	38	3.63502804116385e-12	1.27473735485127e-11	0.267710145868934
GO:0008344	79	24	1.19537823729233e-06	3.59557846389559e-06	0.27275323435887
GO:0045321	386	153	2.06332114544393e-52	7.9941898696408e-52	0.000161447723855948
GO:0008380	347	29	0.984626206962279	1	0.89492625666946
GO:0008360	141	31	5.13041260785038e-05	0.000112416263250729	0.449010845414061
GO:0008361	68	18	0.000189393296860897	0.000498887648427907	0.303925031426007
GO:0008366	69	13	0.0291378777987148	0.0563752764787156	0.727815582505284
GO:0035966	51	9	0.0938862885571276	0.173322594320387	0.343619479636459
GO:0060998	57	19	3.54410578058897e-06	1.16918683978584e-05	0.397638567160605
GO:0033365	493	77	0.000171866946175826	0.000269912282110101	0.508303447378675
GO:0060968	53	11	0.0230748952597051	0.0489258013512323	0.437019998892598
GO:0045333	56	6	0.606651194520886	0.786508036163962	0.843275693102264
GO:0070302	198	74	8.36436303021357e-24	3.07709811138598e-23	0.0368162823910524
GO:0070301	58	24	1.36964397672391e-09	5.56689674648862e-09	0.0250414738511517
GO:0070304	139	48	2.50740724287196e-14	8.4847906094497e-14	0.113066543846836
GO:0070482	275	104	1.31361720454218e-33	4.8802812567477e-33	0.0711830653814109
GO:0070486	203	79	1.17307037379486e-26	4.48265224601175e-26	0.000707140099083114
GO:0070489	195	76	9.50002246345384e-26	3.67841269950441e-25	0.00116065257388414
GO:0008544	82	9	0.549766767478546	0.702785065291672	0.254701188931813
GO:0008543	84	11	0.295213844588112	0.423017610436364	0.951406979585558
GO:0045428	51	27	8.85449738997909e-14	4.57313699089783e-13	0.0224250887414311
GO:1901983	58	18	1.94090244615913e-05	5.9391254919913e-05	0.575062219909008
GO:1901987	266	67	4.68472781972845e-12	1.17477156493868e-11	0.248980772153723
GO:1901989	62	16	0.000585375311331202	0.00151231549799824	0.449765844958314
GO:1901988	145	40	6.89211386312423e-09	1.88073957321648e-08	0.100311897553782
GO:1901990	245	61	7.22110241804224e-11	1.79459572344788e-10	0.290202511755202
GO:1901992	55	16	0.000133491437331821	0.000384907195762557	0.579114137590867
GO:1901991	137	35	4.59275968074008e-07	1.15773601892149e-06	0.193764222022221
GO:0045444	105	37	1.26255851581945e-11	4.37818596358664e-11	0.121817192472106
GO:0045454	76	26	2.97647139124147e-08	9.96179867926919e-08	0.0787620201034886
GO:0045471	113	41	3.14205649558487e-13	1.11928788724318e-12	0.197689020426863
GO:0070167	76	32	1.29503805325186e-12	5.34438818419096e-12	0.0199978002674443
GO:0070192	56	44	2.08425041139207e-32	1.58103312802076e-31	0.0221639211536106
GO:0070126	86	0	1	1	0.672268546479788
GO:0070125	84	0	1	1	0.72668765585198
GO:0045185	94	32	8.41035386645701e-10	2.81785991493401e-09	0.342246292473882
GO:1901800	86	24	6.15139062573813e-06	1.70169268036433e-05	0.172366740002353
GO:0035725	94	4	1	1	0.733222621609147
GO:0033143	63	24	9.56117354896982e-09	3.56366828914908e-08	0.187631069819052
GO:1901861	116	56	1.04364821525964e-24	4.92110442790559e-24	0.0223255685347737
GO:1901863	64	33	4.01207665471041e-16	2.0229137765037e-15	0.466362478604166
GO:0033135	120	46	1.00887129890026e-15	3.79835868694755e-15	0.0756808054916481
GO:0033138	89	35	1.20893471758695e-12	4.66765187466142e-12	0.179771576224999
GO:0060759	146	65	5.3899006600884e-26	2.35540496546033e-25	0.0143919265179753
GO:1901879	69	10	0.206900932286751	0.323691107679352	0.406209225035187
GO:1901880	53	6	0.546377108956248	0.735611460116988	0.38881014495536
GO:1901888	72	34	4.12346364596925e-15	1.89599550333958e-14	0.205104704295015
GO:0045165	141	42	2.19971975894881e-10	6.46449709881352e-10	0.23139280600757
GO:0033108	88	4	1	1	0.857370849611771
GO:0033157	363	162	3.14065067881728e-64	1.36959033795596e-63	0.000691011765180585
